Line#,Date,Pressure ,Rain,Wind Direction,Wind Speed m/s,Gust Speed,Temperature ,RH,Dew Point
1,06/01/20 00:00:00,919.9,0,67,0,0,20.39,98.9,20.24
2,06/01/20 00:05:00,919.9,0,56,0,0,20.27,99,20.13
3,06/01/20 00:10:00,919.9,0,53,0,0,20.2,99.3,20.11
4,06/01/20 00:15:00,919.9,0,53,0,0.5,20.15,99.5,20.1
5,06/01/20 00:20:00,919.9,0,53,0,0.5,20.1,99.5,20.05
6,06/01/20 00:25:00,919.9,0,53,0,0,20.01,99.5,19.95
7,06/01/20 00:30:00,920,0,51,0,0.5,19.96,99.5,19.91
8,06/01/20 00:35:00,920.1,0,51,0,0,19.84,99.7,19.82
9,06/01/20 00:40:00,920,0,51,0,0,19.79,99.7,19.77
10,06/01/20 00:45:00,920.1,0,51,0,0.5,19.79,99.7,19.77
11,06/01/20 00:50:00,920.1,0,51,0,0,19.77,99.8,19.76
12,06/01/20 00:55:00,920,0,51,0,0.5,19.72,100,19.75
13,06/01/20 01:00:00,920.1,0,51,0,0,19.63,99.8,19.62
14,06/01/20 01:05:00,920,0,51,0,0,19.51,99.8,19.5
15,06/01/20 01:10:00,920,0,51,0,0,19.41,99.9,19.42
16,06/01/20 01:15:00,919.9,0,51,0,0,19.37,99.8,19.36
17,06/01/20 01:20:00,919.9,0,51,0,0,19.37,100,19.39
18,06/01/20 01:25:00,919.8,0,51,0,0,19.27,100,19.3
19,06/01/20 01:30:00,919.7,0,51,0,0.5,19.37,100,19.39
20,06/01/20 01:35:00,919.6,0,51,0,0,19.39,100,19.41
21,06/01/20 01:40:00,919.6,0,51,0,0,19.34,100,19.37
22,06/01/20 01:45:00,919.7,0,51,0,0.5,19.29,100,19.32
23,06/01/20 01:50:00,919.6,0,51,0,0.5,19.25,100,19.27
24,06/01/20 01:55:00,919.6,0,42,0,0.5,19.27,100,19.3
25,06/01/20 02:00:00,919.6,0,20,0,0.5,19.32,100,19.34
26,06/01/20 02:05:00,919.6,0,3,0,0.5,19.29,100,19.32
27,06/01/20 02:10:00,919.4,0,3,0,0,19.22,100,19.25
28,06/01/20 02:15:00,919.5,0,3,0,0.5,19.1,100,19.13
29,06/01/20 02:20:00,919.3,0,3,0,0.5,19.03,100,19.06
30,06/01/20 02:25:00,919.3,0,358,0,1,19.01,100,19.03
31,06/01/20 02:30:00,919.3,0,358,0,0.5,19.01,100,19.03
32,06/01/20 02:35:00,919.3,0,358,0,0.5,19.03,100,19.06
33,06/01/20 02:40:00,919.2,0,3,0,0.5,19.06,100,19.08
34,06/01/20 02:45:00,919.2,0,6,0,0.5,19.01,100,19.03
35,06/01/20 02:50:00,919.1,0,8,0,0.5,18.94,100,18.96
36,06/01/20 02:55:00,919.1,0,10,0,0,18.87,100,18.89
37,06/01/20 03:00:00,919.1,0,10,0,1,18.87,100,18.89
38,06/01/20 03:05:00,919.1,0,10,0,0.5,18.87,100,18.89
